phi_i theta_i phi_o theta_o brdf
5.0 -180.0 70.0 0.0 0.01312
5.0 -180.0 71.0 0.0 0.01393
5.0 -180.0 72.0 0.0 0.01293
5.0 -180.0 73.0 0.0 0.01326
5.0 -180.0 74.0 0.0 0.01312
5.0 -180.0 75.0 0.0 0.01338
5.0 -180.0 76.0 0.0 0.01302
5.0 -180.0 77.0 0.0 0.01304
5.0 -180.0 78.0 0.0 0.01355
5.0 -180.0 79.0 0.0 0.01356
5.0 -180.0 80.0 0.0 0.01318
5.0 -180.0 81.0 0.0 0.01461
5.0 -180.0 82.0 0.0 0.01506
5.0 -180.0 83.0 0.0 0.01504
5.0 -180.0 84.0 0.0 0.01461
5.0 -180.0 85.0 0.0 0.0152
5.0 -180.0 86.0 0.0 0.01592
5.0 -180.0 87.0 0.0 0.0165
5.0 -180.0 88.0 0.0 0.01739
41.4 -180.0 -90.0 0.0 0.00554
41.4 -180.0 -40.6 0.0 0.00554
41.4 -180.0 -39.6 0.0 0.00562
41.4 -180.0 -38.6 0.0 0.00577
41.4 -180.0 -37.6 0.0 0.00597
41.4 -180.0 -36.6 0.0 0.00606
41.4 -180.0 -35.6 0.0 0.00623
41.4 -180.0 -34.6 0.0 0.00632
41.4 -180.0 -33.6 0.0 0.00652
41.4 -180.0 -32.6 0.0 0.0067
41.4 -180.0 -31.6 0.0 0.0068
41.4 -180.0 -30.6 0.0 0.0068
41.4 -180.0 -29.6 0.0 0.00688
41.4 -180.0 -28.6 0.0 0.00695
41.4 -180.0 -27.6 0.0 0.00709
41.4 -180.0 -26.6 0.0 0.00701
41.4 -180.0 -25.6 0.0 0.00725
41.4 -180.0 -24.6 0.0 0.00732
41.4 -180.0 -23.6 0.0 0.00744
41.4 -180.0 -22.6 0.0 0.00759
41.4 -180.0 -21.6 0.0 0.00764
41.4 -180.0 -20.6 0.0 0.00776
41.4 -180.0 -19.6 0.0 0.00793
41.4 -180.0 -18.6 0.0 0.00797
41.4 -180.0 -17.6 0.0 0.00806
41.4 -180.0 -16.6 0.0 0.00802
41.4 -180.0 -15.6 0.0 0.00817
41.4 -180.0 -14.6 0.0 0.00815
41.4 -180.0 -13.6 0.0 0.00811
41.4 -180.0 -12.6 0.0 0.00813
41.4 -180.0 -11.6 0.0 0.00872
41.4 -180.0 -10.6 0.0 0.00826
41.4 -180.0 -9.6 0.0 0.00869
41.4 -180.0 -8.6 0.0 0.0086
41.4 -180.0 -7.6 0.0 0.00897
41.4 -180.0 -6.6 0.0 0.00925
41.4 -180.0 -5.6 0.0 0.00933
41.4 -180.0 -4.6 0.0 0.0097
41.4 -180.0 -3.6 0.0 0.00957
41.4 -180.0 -2.6 0.0 0.0101
41.4 -180.0 -1.6 0.0 0.0102
41.4 -180.0 -0.6 0.0 0.011
41.4 -180.0 0.4 0.0 0.0108
41.4 -180.0 1.4 0.0 0.0115
41.4 -180.0 2.4 0.0 0.0116
41.4 -180.0 3.4 0.0 0.0118
41.4 -180.0 4.4 0.0 0.012
41.4 -180.0 5.4 0.0 0.013
41.4 -180.0 6.4 0.0 0.0137
41.4 -180.0 7.4 0.0 0.0142
41.4 -180.0 8.4 0.0 0.015
41.4 -180.0 9.4 0.0 0.0152
41.4 -180.0 10.4 0.0 0.0162
41.4 -180.0 11.4 0.0 0.0176
41.4 -180.0 12.4 0.0 0.0179
41.4 -180.0 13.4 0.0 0.0197
41.4 -180.0 14.4 0.0 0.0207
41.4 -180.0 15.4 0.0 0.0221
41.4 -180.0 16.4 0.0 0.0235
41.4 -180.0 17.4 0.0 0.0254
41.4 -180.0 18.4 0.0 0.0273
41.4 -180.0 19.4 0.0 0.0291
41.4 -180.0 20.4 0.0 0.0321
41.4 -180.0 21.4 0.0 0.0351
41.4 -180.0 22.4 0.0 0.039
41.4 -180.0 23.4 0.0 0.0416
41.4 -180.0 24.4 0.0 0.0474
41.4 -180.0 25.4 0.0 0.0511
41.4 -180.0 26.4 0.0 0.0582
41.4 -180.0 27.4 0.0 0.0638
41.4 -180.0 35.4 0.0 0.173
41.4 -180.0 36.4 0.0 0.193
41.4 -180.0 37.4 0.0 0.216
41.4 -180.0 38.4 0.0 0.249
41.4 -180.0 39.4 0.0 0.274
41.4 -180.0 40.4 0.0 0.293
41.4 -180.0 41.4 0.0 0.315
41.4 -180.0 42.4 0.0 0.344
41.4 -180.0 43.4 0.0 0.374
41.4 -180.0 44.4 0.0 0.404
41.4 -180.0 45.4 0.0 0.438
41.4 -180.0 46.4 0.0 0.448
41.4 -180.0 47.4 0.0 0.44
41.4 -180.0 48.4 0.0 0.406
41.4 -180.0 49.4 0.0 0.406
41.4 -180.0 50.4 0.0 0.383
41.4 -180.0 51.4 0.0 0.359
41.4 -180.0 52.4 0.0 0.316
41.4 -180.0 53.4 0.0 0.283
41.4 -180.0 54.4 0.0 0.253
41.4 -180.0 55.4 0.0 0.222
41.4 -180.0 56.4 0.0 0.197
41.4 -180.0 57.4 0.0 0.172
41.4 -180.0 58.4 0.0 0.147
41.4 -180.0 59.4 0.0 0.129
41.4 -180.0 60.4 0.0 0.116
41.4 -180.0 61.4 0.0 0.0983
41.4 -180.0 62.4 0.0 0.0887
41.4 -180.0 63.4 0.0 0.0798
41.4 -180.0 64.4 0.0 0.0706
41.4 -180.0 65.4 0.0 0.0637
41.4 -180.0 66.4 0.0 0.0566
41.4 -180.0 67.4 0.0 0.0513
41.4 -180.0 68.4 0.0 0.0461
41.4 -180.0 69.4 0.0 0.0412
41.4 -180.0 70.4 0.0 0.0391
41.4 -180.0 71.4 0.0 0.0354
41.4 -180.0 72.4 0.0 0.0332
41.4 -180.0 73.4 0.0 0.0316
41.4 -180.0 74.4 0.0 0.0299
41.4 -180.0 75.4 0.0 0.0276
41.4 -180.0 76.4 0.0 0.0264
41.4 -180.0 77.4 0.0 0.0251
41.4 -180.0 78.4 0.0 0.0235
41.4 -180.0 79.4 0.0 0.0235
41.4 -180.0 80.4 0.0 0.0219
41.4 -180.0 81.4 0.0 0.0206
41.4 -180.0 82.4 0.0 0.0203
41.4 -180.0 83.4 0.0 0.0192
41.4 -180.0 84.4 0.0 0.0192
41.4 -180.0 85.4 0.0 0.0187
41.4 -180.0 86.4 0.0 0.0176
41.4 -180.0 87.4 0.0 0.0169
41.4 -180.0 88.4 0.0 0.0165
41.4 -180.0 89.4 0.0 0.0165
41.4 -180.0 90.0 0.0 0.0156
60.0 -180.0 -90.0 0.0 0.00554
60.0 -180.0 -22.0 0.0 0.00554
60.0 -180.0 -21.0 0.0 0.00562
60.0 -180.0 -20.0 0.0 0.00577
60.0 -180.0 -19.0 0.0 0.00597
60.0 -180.0 -18.0 0.0 0.00606
60.0 -180.0 -17.0 0.0 0.00623
60.0 -180.0 -16.0 0.0 0.00632
60.0 -180.0 -15.0 0.0 0.00652
60.0 -180.0 -14.0 0.0 0.0067
60.0 -180.0 -13.0 0.0 0.0068
60.0 -180.0 -12.0 0.0 0.0068
60.0 -180.0 -11.0 0.0 0.00688
60.0 -180.0 -10.0 0.0 0.00695
60.0 -180.0 -9.0 0.0 0.00709
60.0 -180.0 -8.0 0.0 0.00701
60.0 -180.0 -7.0 0.0 0.00725
60.0 -180.0 -6.0 0.0 0.00732
60.0 -180.0 -5.0 0.0 0.00744
60.0 -180.0 -4.0 0.0 0.00759
60.0 -180.0 -3.0 0.0 0.00764
60.0 -180.0 -2.0 0.0 0.00776
60.0 -180.0 -1.0 0.0 0.00793
60.0 -180.0 0.0 0.0 0.00797
60.0 -180.0 1.0 0.0 0.00806
60.0 -180.0 2.0 0.0 0.00802
60.0 -180.0 3.0 0.0 0.00817
60.0 -180.0 4.0 0.0 0.00815
60.0 -180.0 5.0 0.0 0.00811
60.0 -180.0 6.0 0.0 0.00813
