phi_i theta_i phi_o theta_o brdf
5.0 -180.0 67.0 0.0 0.01508
5.0 -180.0 68.0 0.0 0.01461
5.0 -180.0 69.0 0.0 0.0143
5.0 -180.0 70.0 0.0 0.01468
5.0 -180.0 71.0 0.0 0.01444
5.0 -180.0 72.0 0.0 0.0142
5.0 -180.0 73.0 0.0 0.01389
5.0 -180.0 74.0 0.0 0.0138
5.0 -180.0 75.0 0.0 0.01386
5.0 -180.0 76.0 0.0 0.01391
5.0 -180.0 77.0 0.0 0.01376
5.0 -180.0 78.0 0.0 0.01352
5.0 -180.0 79.0 0.0 0.01297
5.0 -180.0 80.0 0.0 0.01318
5.0 -180.0 81.0 0.0 0.01326
5.0 -180.0 82.0 0.0 0.01282
5.0 -180.0 83.0 0.0 0.01233
5.0 -180.0 84.0 0.0 0.01217
5.0 -180.0 85.0 0.0 0.01186
5.0 -180.0 86.0 0.0 0.01139
5.0 -180.0 87.0 0.0 0.008308
5.0 -180.0 88.0 0.0 0.0069
41.4 -180.0 -88.0 0.0 0.002338
41.4 -180.0 -87.0 0.0 0.003544
41.4 -180.0 -86.0 0.0 0.003945
41.4 -180.0 -85.0 0.0 0.004366
41.4 -180.0 -84.0 0.0 0.00472
41.4 -180.0 -83.0 0.0 0.004832
41.4 -180.0 -82.0 0.0 0.005067
41.4 -180.0 -81.0 0.0 0.005194
41.4 -180.0 -80.0 0.0 0.005337
41.4 -180.0 -79.0 0.0 0.005673
41.4 -180.0 -78.0 0.0 0.005398
41.4 -180.0 -77.0 0.0 0.005587
41.4 -180.0 -76.0 0.0 0.005615
41.4 -180.0 -75.0 0.0 0.005897
41.4 -180.0 -74.0 0.0 0.005803
41.4 -180.0 -73.0 0.0 0.005804
41.4 -180.0 -72.0 0.0 0.007161
41.4 -180.0 -71.0 0.0 0.005663
41.4 -180.0 -70.0 0.0 0.00579
41.4 -180.0 -69.0 0.0 0.005934
41.4 -180.0 -68.0 0.0 0.006023
41.4 -180.0 -67.0 0.0 0.006022
41.4 -180.0 -66.0 0.0 0.006068
41.4 -180.0 -65.0 0.0 0.006045
41.4 -180.0 -64.0 0.0 0.006091
41.4 -180.0 -63.0 0.0 0.006219
41.4 -180.0 -62.0 0.0 0.006316
41.4 -180.0 -61.0 0.0 0.00634
41.4 -180.0 -60.0 0.0 0.006306
41.4 -180.0 -59.0 0.0 0.00637
41.4 -180.0 -58.0 0.0 0.006514
41.4 -180.0 -57.0 0.0 0.006544
41.4 -180.0 -56.0 0.0 0.006542
41.4 -180.0 -55.0 0.0 0.006775
41.4 -180.0 -54.0 0.0 0.006843
41.4 -180.0 -53.0 0.0 0.006832
41.4 -180.0 -52.0 0.0 0.007003
41.4 -180.0 -51.0 0.0 0.007082
41.4 -180.0 -50.0 0.0 0.007146
41.4 -180.0 -49.0 0.0 0.007001
41.4 -180.0 -34.0 0.0 0.006848
41.4 -180.0 -33.0 0.0 0.008438
41.4 -180.0 -32.0 0.0 0.008452
41.4 -180.0 -31.0 0.0 0.008545
41.4 -180.0 -30.0 0.0 0.008678
41.4 -180.0 -29.0 0.0 0.008758
41.4 -180.0 -28.0 0.0 0.008844
41.4 -180.0 -27.0 0.0 0.008838
41.4 -180.0 -26.0 0.0 0.008878
41.4 -180.0 -25.0 0.0 0.008892
41.4 -180.0 -24.0 0.0 0.008897
41.4 -180.0 -23.0 0.0 0.00905
41.4 -180.0 -22.0 0.0 0.00941
41.4 -180.0 -21.0 0.0 0.009687
41.4 -180.0 -20.0 0.0 0.009764
41.4 -180.0 -19.0 0.0 0.009863
41.4 -180.0 -18.0 0.0 0.009887
41.4 -180.0 -17.0 0.0 0.01027
41.4 -180.0 -16.0 0.0 0.01038
41.4 -180.0 -15.0 0.0 0.01061
41.4 -180.0 -14.0 0.0 0.01091
41.4 -180.0 -13.0 0.0 0.01101
41.4 -180.0 -12.0 0.0 0.01121
41.4 -180.0 -11.0 0.0 0.01149
41.4 -180.0 -10.0 0.0 0.01194
41.4 -180.0 -9.0 0.0 0.0122
41.4 -180.0 -8.0 0.0 0.01237
41.4 -180.0 -7.0 0.0 0.01269
41.4 -180.0 -6.0 0.0 0.01315
41.4 -180.0 -5.0 0.0 0.01345
41.4 -180.0 -4.0 0.0 0.01365
41.4 -180.0 -3.0 0.0 0.0142
41.4 -180.0 -2.0 0.0 0.01468
41.4 -180.0 -1.0 0.0 0.01499
41.4 -180.0 0.0 0.0 0.01552
41.4 -180.0 1.0 0.0 0.01587
41.4 -180.0 2.0 0.0 0.01646
41.4 -180.0 3.0 0.0 0.01716
41.4 -180.0 4.0 0.0 0.01748
41.4 -180.0 5.0 0.0 0.018
41.4 -180.0 6.0 0.0 0.01834
